BL040126	BL040223	BL040322	BL040419	BL040525	BL040628	BL040719	BL040831	BL040929	BL041019	BL041116	BL041214	BL050120	BL050215	BL050309	BL050413	BL050510	BL050607	BL050705	BL050803	BL050913	BL051004	BL051108	BL051213	BL060111	BL060207	BL060307	BL060404	BL060516	BL060613	BL060704	BL060801	BL060912	BL061010	BL061107	BL061211	BL070116	BL070220	BL070320	BL070424	BL070515	BL070605	BL070703	BL070801	BL070912	BL071016	BL071113	BL071211	BL080115	BL080212	BL080311	BL080408	BL080507	BL080602	BL080702	BL080805	BL080902	BL081014	BL081113	BL081211	BL090113	BL090210	BL090317	BL090421	BL090512	BL090609	BL090721	BL090804	BL090915	BL091006	BL091105	BL091222	BL100120	BL100217	BL100322	BL100412	BL100525	BL100622	BL100706	BL100803	BL100914	BL101019	BL101116	BL101214	BL110112	BL110208	BL110314	BL110412	BL110517	BL110615	BL110704	BL110802	BL110913	BL111010	BL111129	BL111219	BL120110	BL120214	BL120313	BL120411	BL120518	BL120620	BL120703	BL120807	BL120913	BL121009	BL121106	BL121211	BL130115	BL130206	BL130312	BL130417	BL130507	BL130604	BL130709	BL130801	BL130917	BL131015	BL131105	BL131204
ep_ASV_00032	10	2	307	21	0	0	0	0	0	0	0	0	45	12	0	0	0	0	0	0	65	52	0	3	35	97	151	0	2	0	0	0	0	0	0	2	23	148	122	6	0	0	0	0	0	0	4	21	33	139	101	468	58	0	0	0	0	0	7	24	54	67	112	37	3	3	0	0	0	0	4	0	9	24	166	68	0	0	0	0	0	0	29	0	10	32	144	15	1	0	0	0	0	0	0	1	5	86	133	56	19	0	2	0	0	1	16	20	36	101	251	62	448	7	0	0	1	2	0	12
bp_ASV_000017	81	347	197	1149	20	2	0	0	0	0	61	18	22	92	1	0	0	0	470	0	99	673	107	29	78	491	598	1099	617	121	0	0	0	0	0	17	51	34	711	306	0	0	0	0	0	0	0	0	35	356	465	626	177	23	0	0	0	0	0	0	32	334	182	631	138	0	0	0	0	0	0	19	26	28	58	95	0	0	3	0	0	6	1	7	81	151	83	12	0	33	0	0	0	0	355	59	28	21	0	31	68	0	0	0	0	0	3	4	49	41	170	33	143	3	0	0	1	0	2	2
bn_ASV_000333	0	21	16	2	0	0	0	0	0	0	0	0	0	10	8	0	0	0	0	0	0	0	0	0	17	0	12	0	0	0	0	0	0	4	3	20	12	7	54	0	0	0	0	0	0	0	3	0	3	23	12	5	0	0	0	0	0	0	0	0	6	14	5	0	0	0	0	0	0	0	1	4	14	5	4	0	0	0	0	0	0	0	2	1	6	16	5	1	0	0	0	0	0	0	6	2	4	13	5	0	0	0	0	0	0	0	9	3	0	3	0	0	0	0	0	0	0	0	2	1
en_ASV_00206	63	28	15	15	2	0	7	0	0	3	38	41	28	26	7	8	0	6	9	0	0	0	14	54	67	21	12	0	0	0	0	4	0	0	21	0	49	16	16	0	0	0	0	2	0	11	60	21	31	153	150	0	0	0	0	0	0	0	52	28	50	0	0	4	5	2	0	0	0	0	51	0	30	35	9	25	1	3	0	0	1	16	76	52	140	67	17	25	4	2	0	0	4	33	100	81	235	94	12	21	6	3	0	0	13	125	105	138	309	110	27	30	9	1	0	0	0	0	144	233
en_ASV_00112	42	64	24	136	0	2	0	0	0	0	0	61	69	118	22	14	0	0	0	0	0	0	28	30	108	153	33	5	0	2	16	0	0	0	39	18	29	165	25	721	15	126	0	0	0	13	79	0	63	101	27	33	15	0	0	0	0	0	10	80	116	0	0	25	35	32	0	0	0	0	41	91	56	127	126	43	18	28	1	0	0	3	48	51	64	99	78	120	30	9	2	0	0	6	27	50	61	111	67	60	16	1	1	0	0	0	48	36	61	115	41	56	12	0	1	0	0	5	8	69
ep_ASV_00018	103	135	151	38	31	0	0	0	14	23	27	44	227	13	0	0	0	0	0	0	45	32	14	166	350	82	0	9	6	0	0	0	0	0	0	6	109	177	23	0	0	0	0	0	0	0	12	287	92	51	68	23	0	0	0	0	0	0	74	145	341	34	39	0	20	0	0	0	0	0	5	34	383	284	101	38	0	3	0	0	0	0	20	15	7	77	105	10	7	0	0	0	0	0	27	0	72	123	0	21	0	0	0	0	0	0	60	129	114	107	108	3	20	0	0	0	0	0	9	84
bp_ASV_000036	55	231	73	195	8	6	0	2	0	3	4	0	5	164	28	0	0	0	83	4	30	227	14	9	16	75	210	161	112	57	0	0	2	1	0	7	21	30	224	51	0	4	0	0	0	6	24	3	0	31	110	49	14	8	3	0	8	4	6	12	0	245	18	84	38	57	0	0	6	21	14	13	12	19	33	9	108	21	8	0	0	40	4	17	54	21	39	17	7	42	0	0	9	1	146	6	5	4	0	5	74	6	1	0	0	19	2	3	8	23	125	0	52	2	9	0	2	1	0	2
bn_ASV_000244	21	17	7	0	0	0	0	0	0	9	0	0	31	4	9	0	0	0	0	0	0	0	0	8	7	5	2	0	0	0	0	0	0	0	3	4	14	5	8	0	0	0	0	0	4	4	8	15	9	33	12	2	0	0	0	0	0	0	5	6	9	13	6	0	0	0	0	1	0	0	10	7	4	9	6	0	0	0	0	1	0	2	8	5	4	19	7	0	0	0	0	1	0	9	10	7	14	20	8	0	0	0	0	0	5	15	6	10	18	21	7	0	0	0	0	0	0	0	9	7
bn_ASV_000078	47	121	45	47	0	0	0	0	0	0	0	6	16	54	27	0	21	0	0	0	0	0	30	0	22	57	49	0	6	29	0	0	0	0	10	11	52	24	106	12	9	3	3	0	0	0	7	3	5	29	41	13	20	20	1	0	0	0	2	9	10	70	8	11	2	7	0	0	0	1	2	6	7	18	11	0	10	8	0	0	1	0	8	10	8	49	14	6	8	7	0	0	0	3	5	8	4	36	30	4	8	5	0	0	0	9	4	8	0	45	36	6	7	8	0	0	0	0	7	9
en_ASV_00016	1182	575	2429	50	0	0	0	0	10	0	14	49	572	497	3071	19	0	0	0	0	0	0	18	103	1010	944	615	0	0	0	0	0	0	0	19	0	69	113	58	1	0	0	0	0	0	0	2	181	101	788	131	6	0	0	0	0	0	0	4	49	241	193	163	1	5	3	0	0	0	0	2	0	242	606	1705	8	8	0	0	0	0	0	7	65	237	427	1125	44	15	0	0	0	0	0	4	43	318	399	1124	102	23	0	0	0	0	0	5	11	359	367	980	146	31	0	0	0	0	0	0	6
bn_ASV_000197	29	38	13	19	0	0	0	0	0	5	0	7	15	28	16	0	0	0	0	0	0	0	0	0	14	38	23	0	0	0	0	0	0	0	4	19	14	15	14	0	8	0	0	0	0	0	0	0	7	7	0	11	0	0	0	0	0	1	0	0	13	16	14	0	5	0	0	0	0	0	0	8	10	18	24	0	5	0	0	0	0	0	2	5	10	18	15	1	2	0	0	0	0	0	0	3	12	7	19	0	2	0	0	0	0	0	0	9	0	0	15	0	0	0	0	0	0	0	0	0
bn_ASV_000230	13	40	17	6	0	0	0	0	0	0	0	9	21	16	39	33	0	0	0	0	0	0	0	0	26	6	3	0	0	0	0	0	0	0	2	2	18	9	7	0	3	0	0	0	0	0	11	4	22	7	8	8	7	0	0	0	0	0	6	11	22	5	11	5	0	0	0	0	0	0	5	6	14	34	8	0	3	0	0	0	0	0	5	9	23	10	12	1	0	0	0	0	0	0	7	6	8	14	17	0	0	0	0	0	0	0	9	3	0	15	14	0	0	0	0	0	0	0	2	4
bn_ASV_000089	24	134	28	37	3	0	0	0	0	0	84	0	0	41	13	0	13	0	0	0	5	11	100	61	83	32	30	49	1	4	0	0	2	0	22	43	39	27	39	69	0	0	0	0	4	12	18	0	1	8	12	88	5	0	0	0	0	8	0	29	8	47	12	15	0	10	0	6	0	0	8	20	39	21	12	0	1	6	0	1	0	0	9	14	8	19	10	5	5	3	0	1	2	2	10	5	20	15	11	9	1	5	0	0	0	0	4	2	0	1	10	0	0	0	0	0	0	0	9	5
en_ASV_00092	119	205	239	43	0	0	0	0	9	1	13	84	45	146	221	17	0	0	0	0	0	4	0	7	125	85	685	0	9	0	0	0	0	0	5	1	6	101	36	8	0	0	0	0	0	0	39	58	490	87	53	25	5	0	0	0	2	0	42	47	211	193	187	8	6	3	0	0	0	0	21	48	250	499	74	0	4	2	0	0	0	0	54	68	141	351	135	7	1	0	0	0	1	0	58	77	102	361	226	2	0	1	0	0	0	0	95	129	41	382	269	2	0	0	0	0	0	0	0	59
en_ASV_00983	1	8	7	4	0	0	3	0	0	10	8	8	5	5	8	7	0	0	2	0	0	0	4	10	7	0	5	0	0	0	0	0	0	11	0	0	4	5	1	0	0	0	0	1	0	0	4	18	11	1	7	0	0	0	0	0	0	0	12	5	16	4	4	0	0	0	0	0	0	0	2	26	22	27	6	0	0	0	0	0	0	0	4	13	9	21	5	0	0	0	0	0	0	0	6	16	7	22	9	0	1	0	0	0	0	0	11	6	1	11	11	0	0	0	0	0	0	0	2	5
bn_ASV_000607	11	5	0	0	0	0	0	0	0	0	0	0	6	8	0	0	0	0	0	0	0	0	0	22	10	2	0	0	0	0	0	0	0	0	3	14	14	4	0	0	0	0	0	0	0	0	0	7	4	12	0	0	0	0	0	0	0	0	8	18	11	1	1	0	0	0	0	0	0	0	0	2	10	1	3	0	0	0	0	0	0	0	0	2	14	7	2	0	0	0	0	0	0	1	3	4	15	4	3	0	0	0	0	0	0	4	3	14	37	12	6	0	0	0	0	0	0	0	5	0
bn_ASV_000102	34	0	29	3	1	0	0	0	4	13	10	54	58	19	28	15	0	0	0	0	0	0	35	30	62	24	15	0	0	1	0	0	0	0	17	29	5	28	32	10	3	1	1	0	4	0	17	25	35	13	5	14	0	0	0	0	0	2	35	54	44	23	12	1	0	4	0	0	0	0	12	32	41	26	14	0	2	1	1	0	1	1	14	23	32	12	10	1	1	1	2	1	0	0	7	19	33	16	19	1	0	2	0	0	0	0	7	12	5	1	6	2	0	0	0	0	0	0	6	22
en_ASV_00310	0	0	0	0	9	3	9	0	0	0	0	0	0	0	0	0	0	2	27	0	0	0	0	0	0	0	0	0	0	8	18	10	22	0	0	0	0	0	0	6	0	0	7	123	0	0	0	0	0	0	0	0	54	16	60	85	44	0	0	0	0	0	0	0	0	0	16	10	246	0	0	0	0	0	0	0	12	7	17	82	173	2	0	0	0	0	0	0	11	21	20	66	145	2	0	0	0	0	0	0	3	17	16	81	121	0	0	0	0	0	0	0	0	21	10	91	44	28	0	0
bp_ASV_000398	6	4	9	2	0	0	0	0	0	2	1	0	13	19	0	0	0	0	0	0	7	0	1	6	1	7	13	0	0	0	0	0	0	0	0	0	12	0	1	0	0	0	0	0	0	0	0	3	6	12	6	5	0	0	0	0	0	0	0	0	3	2	4	7	0	0	0	0	0	0	0	6	0	14	11	5	0	0	0	0	0	0	9	12	6	8	19	0	0	0	0	0	0	0	1	1	3	9	65	0	0	0	0	0	0	0	1	4	7	11	10	2	0	0	0	0	0	0	0	6
en_ASV_00327	0	0	0	0	6	1	28	7	0	1	0	0	0	0	0	0	73	40	1	11	0	0	0	0	0	0	0	0	1	25	7	35	55	18	0	0	0	0	0	3	4	25	11	80	0	5	0	0	0	0	0	0	8	31	45	475	225	28	0	0	0	0	0	0	0	0	4	72	2	0	0	0	0	0	0	0	2	5	13	111	26	9	0	0	0	0	0	0	1	2	11	90	23	6	0	0	4	0	0	0	1	2	8	20	0	0	0	0	3	0	0	0	0	0	7	20	0	0	0	0
bp_ASV_000063	0	0	0	0	17	73	35	2	0	5	2	0	0	0	14	17	82	49	154	63	0	0	22	0	0	0	0	0	56	88	39	8	71	6	0	0	0	0	0	22	74	14	26	35	0	0	4	0	0	0	0	0	59	74	58	104	86	12	0	0	0	0	0	5	62	25	32	53	82	17	16	0	0	0	0	0	0	32	156	0	71	10	0	0	0	0	0	0	12	219	14	34	31	16	3	0	1	0	0	0	12	52	37	18	54	36	8	0	0	0	0	0	9	12	28	14	47	2	3	0
bp_ASV_000302	9	22	13	0	0	0	0	0	0	0	0	0	13	24	0	0	0	0	0	0	33	3	0	9	18	6	7	0	0	0	0	0	0	0	0	33	8	0	8	0	0	0	0	0	0	0	0	7	19	27	5	8	0	0	0	0	0	0	0	0	15	18	8	0	0	0	0	0	0	0	0	4	0	25	7	0	0	0	0	0	0	0	4	10	11	29	0	0	0	0	0	0	0	0	0	4	2	11	0	0	0	0	0	0	0	0	6	7	25	32	15	0	0	0	0	0	0	0	0	9
en_ASV_00253	0	0	0	0	15	1	78	3	0	0	0	0	0	0	0	0	77	1	14	0	0	0	0	0	0	0	0	0	0	11	32	150	0	0	0	0	0	0	0	1	1	0	18	11	0	0	0	0	0	0	0	0	4	0	629	44	3	3	0	0	0	0	0	0	0	0	16	10	3	0	0	0	0	0	0	0	2	3	177	39	0	4	0	0	1	0	0	0	4	2	271	81	5	6	0	0	0	0	0	0	3	7	334	58	8	15	0	0	1	0	0	0	5	3	348	272	0	10	0	0
ep_ASV_00047	25	0	44	0	0	0	0	10	24	0	0	29	86	61	1	0	0	0	0	0	28	0	2	13	16	43	19	0	3	4	0	0	10	5	0	40	126	28	38	0	0	1	0	0	0	8	52	0	37	39	5	47	0	0	0	0	7	6	10	23	111	29	23	42	1	0	1	0	0	15	15	12	79	16	27	52	5	0	0	16	0	17	25	3	70	33	26	3	0	12	13	23	32	4	0	100	131	116	0	6	5	18	1	1	1	40	51	92	157	77	75	23	103	2	0	0	13	4	0	40
en_ASV_00110	0	0	0	0	0	48	162	40	0	0	0	0	0	0	0	0	0	86	122	51	0	0	0	0	0	0	0	0	8	8	139	183	64	15	0	0	0	0	0	13	48	100	27	4	0	3	0	0	0	0	0	0	0	0	32	58	0	55	0	0	0	0	0	0	0	0	187	103	8	0	0	0	0	0	0	0	13	8	234	132	10	19	0	0	0	0	0	2	13	9	370	202	4	17	0	0	0	0	0	0	8	5	567	513	3	48	0	0	0	0	0	0	11	9	641	64	0	0	0	0
bn_ASV_000226	25	22	11	0	0	0	0	0	0	0	0	7	23	17	12	0	0	0	0	0	0	0	0	5	33	12	12	0	0	0	0	0	0	0	2	8	9	15	0	0	0	0	0	0	0	0	6	15	25	10	10	1	0	0	0	0	0	0	7	9	37	18	11	0	0	0	0	0	0	0	2	19	17	29	22	0	0	0	0	0	0	0	4	12	21	22	11	0	0	0	0	0	0	0	6	10	21	9	6	0	0	0	0	0	0	0	2	5	0	0	3	0	0	0	0	0	0	0	0	6
bn_ASV_000005	135	17	594	21	41	0	0	0	27	56	75	97	187	149	1177	356	218	34	0	0	49	28	44	78	113	97	118	0	532	102	0	0	0	16	28	57	230	152	120	54	44	56	11	2	0	5	66	378	305	669	274	291	274	205	25	6	0	14	82	181	122	76	1396	85	22	114	9	2	10	16	69	27	135	148	596	557	242	105	6	3	9	20	79	102	197	384	984	737	391	131	3	5	9	49	73	182	274	710	1366	1351	802	124	4	10	18	67	96	298	622	1425	2288	2645	1142	132	0	0	17	20	20	157
bp_ASV_000242	0	0	0	0	0	3	41	21	5	4	3	0	0	0	21	14	17	26	0	0	0	0	2	0	0	0	0	0	0	0	8	9	0	2	0	0	0	0	0	0	0	5	5	5	36	15	0	0	0	0	0	0	0	0	7	2	0	13	0	0	0	0	0	0	0	0	20	21	55	15	3	0	0	0	0	0	0	5	6	4	0	0	0	0	0	0	0	0	6	0	21	15	5	12	0	0	0	0	0	0	0	26	48	25	13	6	0	1	0	0	0	0	0	0	19	26	11	9	0	0
en_ASV_01063	1	9	6	21	0	0	0	0	0	6	0	9	9	8	8	26	0	0	0	0	0	0	10	6	17	0	11	3	1	0	0	0	0	0	4	8	8	9	0	0	0	0	0	0	0	0	6	12	9	24	5	1	0	0	0	0	0	0	1	0	0	0	0	6	5	7	0	0	0	0	0	17	4	7	9	0	2	2	0	0	0	0	3	5	7	1	5	1	0	1	0	0	0	0	4	4	8	2	4	1	0	2	0	0	0	0	7	5	9	0	4	0	0	0	0	0	0	0	0	4
bp_ASV_000117	0	0	0	0	0	15	35	6	10	9	0	4	0	0	16	0	48	39	0	83	0	0	2	0	0	0	0	0	0	43	35	6	6	12	0	0	0	0	0	0	0	29	31	10	11	13	5	0	0	0	0	0	0	24	57	17	0	11	6	0	0	0	0	0	0	49	16	22	28	23	6	3	0	0	0	0	10	81	22	5	32	0	0	0	0	0	0	0	39	8	40	17	5	20	0	1	0	0	0	0	1	118	55	11	18	12	12	3	0	1	0	0	0	24	24	28	2	10	1	1
bn_ASV_000540	6	13	3	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	8	8	3	5	0	0	0	0	0	0	0	4	5	20	4	3	0	0	0	0	0	0	0	0	0	0	7	7	0	0	0	0	0	0	0	3	0	2	4	3	0	0	0	0	0	0	0	0	2	3	1	29	0	0	0	0	0	0	0	2	5	3	2	21	2	0	0	0	0	0	0	4	11	12	5	22	2	0	0	0	0	0	0	11	13	23	8	30	7	0	0	0	0	0	0	1	11
bp_ASV_000290	20	7	4	0	0	0	0	0	0	0	4	4	16	11	0	0	0	0	0	0	40	0	1	10	19	5	0	0	0	0	0	0	0	0	0	8	7	16	0	0	0	0	0	0	0	0	4	31	30	22	8	2	0	0	0	0	0	0	6	0	32	10	8	0	0	0	0	0	0	0	9	12	28	23	6	0	0	0	0	0	0	0	5	5	8	15	6	0	0	0	0	0	0	0	0	8	9	23	10	0	0	0	0	0	0	0	4	8	19	12	12	0	0	0	0	0	0	0	0	10
bn_ASV_000012	50	0	11	0	8	30	245	43	233	174	110	270	82	6	37	0	9	267	344	103	294	222	111	91	39	8	0	0	40	70	216	275	88	157	129	115	72	0	0	0	58	99	134	184	26	22	28	53	31	18	0	0	0	61	152	255	152	80	112	104	57	8	16	0	35	105	232	119	404	109	101	37	66	19	15	220	32	130	225	169	256	146	162	93	81	20	29	125	34	158	333	235	261	246	239	161	105	55	42	77	52	284	374	375	200	418	329	232	330	111	85	34	76	456	471	323	226	275	229	235
en_ASV_00109	128	31	180	40	0	0	0	0	0	13	1	56	205	74	236	22	0	0	0	0	0	0	11	7	198	95	168	0	28	4	0	0	0	0	67	7	11	63	60	6	0	10	0	1	0	3	51	17	158	281	46	81	9	0	0	0	5	2	22	44	328	70	73	37	36	39	0	0	0	0	34	41	334	121	75	0	24	21	0	0	0	0	67	90	181	147	171	9	8	8	0	0	1	1	73	164	163	199	316	17	16	4	0	0	0	0	113	207	102	187	439	11	9	0	0	0	0	4	12	473
bp_ASV_000022	0	6	0	0	0	42	229	68	120	99	17	21	12	0	110	172	119	181	0	42	0	0	31	31	18	24	19	0	0	0	81	165	258	116	0	0	0	0	0	0	21	25	76	109	117	99	26	18	0	0	0	0	0	11	69	104	122	142	23	0	19	0	0	0	0	24	105	195	181	184	34	26	0	10	0	0	0	129	39	44	140	116	16	23	5	18	20	0	82	41	214	123	109	146	20	16	21	12	0	3	2	109	114	398	116	114	55	56	26	19	9	5	5	23	163	348	135	135	12	14
bp_ASV_000226	19	7	9	0	0	0	0	0	0	0	4	6	20	58	0	0	0	0	0	0	44	0	0	10	24	11	19	0	0	0	0	0	0	0	0	10	26	22	3	0	0	0	0	0	0	0	6	20	36	18	3	0	0	0	0	0	0	0	9	0	32	9	14	1	0	0	0	0	0	0	0	15	30	19	12	0	0	0	0	0	0	0	4	16	24	34	14	0	0	0	0	0	0	0	0	5	15	18	1	0	0	0	0	0	0	0	3	20	19	18	26	0	0	0	0	0	0	0	0	11
bn_ASV_000304	28	23	17	4	0	0	0	0	0	0	0	0	15	11	16	0	0	0	0	0	0	0	0	0	15	5	10	0	0	0	0	0	0	0	0	4	6	9	0	0	3	1	0	0	0	0	0	6	8	6	9	7	9	0	0	0	0	0	0	9	6	22	13	16	0	0	0	0	0	0	0	6	5	8	11	0	1	0	0	0	0	0	0	6	6	6	13	3	1	1	0	0	0	0	0	6	6	5	9	3	1	0	0	0	0	0	0	2	0	0	3	0	0	0	0	0	0	0	0	2
bp_ASV_000334	3	31	5	7	0	0	0	0	0	0	6	13	0	13	0	0	0	0	0	0	18	15	9	13	5	24	16	0	0	0	0	0	0	0	0	0	6	15	20	0	0	0	0	0	0	0	0	0	0	5	21	33	6	2	0	0	0	0	0	0	5	16	10	16	0	0	0	0	0	0	0	5	11	14	12	16	0	0	0	0	0	15	1	5	8	13	31	16	0	0	0	0	0	0	9	1	7	3	0	7	0	0	0	0	0	0	9	4	4	5	13	3	6	0	0	0	0	0	2	3
bp_ASV_000087	0	0	0	0	0	6	39	19	27	10	3	22	14	0	10	6	5	28	0	0	0	0	9	9	1	0	0	0	0	4	13	15	6	30	5	3	3	0	0	0	16	21	17	38	8	6	8	0	10	0	0	0	0	8	16	22	35	52	2	0	11	0	0	0	0	9	33	31	19	15	16	2	0	0	0	0	26	3	19	66	48	7	18	22	1	4	0	3	9	2	13	23	12	18	5	2	4	0	0	3	0	3	20	10	7	21	5	7	6	4	1	1	1	30	22	34	11	53	44	11
bn_ASV_000025	31	0	0	0	0	45	156	50	189	77	38	84	0	0	0	0	0	100	172	0	109	68	37	0	0	0	0	0	0	17	54	65	84	91	26	37	17	0	0	0	0	11	61	86	39	21	12	0	0	0	0	0	0	12	37	88	73	80	19	26	6	0	0	0	0	0	43	76	192	103	22	13	10	0	0	23	1	19	68	98	147	171	54	29	12	7	1	12	4	37	101	166	176	230	102	77	28	13	9	8	12	83	175	332	234	280	141	135	99	21	8	0	13	150	222	117	154	543	70	25
en_ASV_00167	0	0	0	3	12	273	19	72	0	0	20	0	0	0	0	0	0	17	5	251	0	41	12	28	0	0	0	0	0	5	8	175	28	0	14	4	5	0	3	33	44	72	1	36	0	8	14	0	0	0	7	172	3	10	33	208	91	7	0	51	0	0	0	0	0	0	5	313	0	11	110	34	2	0	0	0	12	4	4	181	10	7	35	17	1	0	0	17	13	0	3	113	9	6	24	6	0	0	1	6	0	1	3	58	0	0	33	0	0	0	0	0	0	0	0	0	0	0	2	0
bp_ASV_000341	0	0	0	0	0	7	3	1	0	2	1	0	0	0	0	6	23	0	5	0	0	0	1	0	0	0	0	0	0	0	14	13	8	3	0	0	0	0	0	0	0	0	13	0	11	6	0	0	0	0	0	0	0	0	3	1	15	5	0	0	0	0	0	0	0	0	0	6	0	0	8	0	0	0	0	0	0	6	13	6	36	0	0	0	0	0	0	0	5	22	4	17	4	9	0	2	0	0	0	0	5	0	7	7	9	8	3	1	0	0	0	0	5	3	7	2	10	6	5	0
bn_ASV_000222	23	28	14	0	0	0	0	0	0	0	0	6	15	12	30	0	0	0	0	0	0	0	0	0	24	18	4	0	0	0	0	0	0	0	0	6	4	10	0	0	0	1	0	0	0	0	11	13	19	9	13	0	0	0	0	0	0	0	4	18	15	17	13	0	0	0	0	0	0	0	6	11	18	21	8	0	0	0	0	0	0	1	5	13	19	12	4	0	0	2	0	0	0	2	3	7	13	7	3	0	0	0	0	0	0	0	6	11	0	0	0	0	0	0	0	0	0	0	0	13
en_ASV_00696	14	8	3	0	0	0	0	0	0	0	0	16	19	3	6	0	0	0	0	0	0	0	0	1	17	3	8	0	0	0	0	0	0	0	35	11	5	19	2	3	0	0	0	0	0	7	52	0	19	7	1	0	0	0	0	0	0	0	16	26	32	0	0	0	0	0	0	0	0	0	18	13	14	24	27	0	0	0	0	0	0	1	16	23	29	16	17	1	0	0	0	0	0	2	34	31	41	23	13	5	0	0	0	0	0	0	47	35	33	25	15	4	0	0	0	0	0	0	0	21
ep_ASV_00002	131	85	866	45	0	6	0	6	0	13	4	188	824	721	0	9	12	1	90	0	414	31	33	109	462	605	207	5	62	37	0	0	0	13	0	58	639	252	776	60	6	4	2	1	0	24	135	130	177	535	67	771	102	17	0	0	6	2	35	173	511	325	154	324	56	16	5	0	1	1	74	26	280	89	143	200	59	10	0	0	0	149	473	106	198	477	239	14	42	21	0	8	29	6	18	524	773	496	276	98	147	11	15	0	5	105	135	724	1202	581	1089	93	2450	70	2	0	31	8	4	709
bn_ASV_000280	20	0	11	0	0	0	0	0	0	0	0	0	14	14	19	0	0	0	0	0	0	0	0	27	21	3	6	0	0	0	0	0	0	0	0	5	44	20	18	0	0	0	0	0	0	0	0	6	33	21	7	0	0	0	0	0	0	0	0	11	10	28	3	0	0	0	0	0	0	0	0	9	11	22	3	0	0	0	0	0	0	0	2	9	11	32	10	0	0	0	0	0	0	0	1	6	12	40	6	0	0	0	0	0	0	0	4	14	12	62	27	0	0	0	0	0	0	0	0	3
bn_ASV_000017	103	356	359	839	6	0	0	0	0	0	21	8	6	334	36	761	327	0	0	0	2	0	89	6	54	481	636	126	153	88	0	0	0	0	6	10	27	57	654	420	4	0	0	0	0	0	1	2	18	232	470	295	126	15	0	0	0	0	0	13	33	254	88	337	0	0	0	2	0	0	0	7	19	22	37	3	53	9	0	1	0	0	2	10	21	89	131	103	34	3	0	1	0	0	4	3	14	79	68	68	32	1	0	0	0	0	0	1	8	4	31	6	5	0	0	0	0	0	5	2
bn_ASV_000692	6	0	13	0	0	0	0	0	0	0	0	0	9	5	38	0	0	0	0	0	0	0	0	0	11	1	5	0	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	3	6	6	0	0	0	0	0	0	0	0	0	0	11	1	0	0	0	0	0	0	0	0	0	2	12	4	7	0	0	0	0	0	0	0	0	3	6	2	0	0	0	0	0	0	0	0	0	5	3	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
en_ASV_00119	48	39	85	63	0	0	0	0	9	11	26	86	296	115	109	111	0	0	0	0	0	0	0	159	201	44	160	18	12	0	0	0	0	0	0	11	136	230	28	0	0	0	0	0	0	0	9	190	98	31	34	0	0	0	0	0	0	0	51	153	172	27	29	7	9	8	0	0	0	0	26	92	417	369	115	43	2	3	0	0	0	0	34	150	199	221	133	20	3	4	0	0	0	0	37	120	119	163	133	10	2	2	0	0	0	0	48	102	81	121	133	0	0	0	0	0	0	0	25	104
bn_ASV_000043	0	0	0	0	0	26	98	11	12	8	5	0	0	0	0	0	11	29	16	0	40	26	0	0	0	0	0	0	0	40	64	16	6	11	5	0	0	0	0	0	35	92	33	10	54	44	3	0	0	0	0	0	0	53	14	4	17	17	0	0	0	0	0	0	120	150	35	32	96	24	2	0	0	0	0	7	37	110	53	37	59	30	4	0	0	0	0	2	49	106	87	70	48	55	5	1	0	0	0	4	17	68	98	136	45	53	10	2	0	0	0	0	0	15	136	42	20	156	11	0
bn_ASV_000301	10	31	1	49	0	0	0	0	0	0	0	0	0	7	0	95	37	0	0	0	0	0	0	0	0	6	8	45	9	2	0	0	0	0	0	0	0	0	0	19	3	0	0	0	0	0	0	1	2	19	20	36	7	4	0	0	0	0	0	0	1	11	2	25	0	2	0	0	0	0	0	0	0	0	1	0	8	0	0	0	0	0	0	0	0	3	2	13	14	2	0	0	0	0	0	0	0	8	6	10	33	2	0	0	0	0	0	0	0	10	3	10	33	0	0	0	0	0	0	0
ep_ASV_00260	0	0	0	0	0	0	4	17	0	1	0	0	0	0	0	0	0	32	0	0	0	0	3	0	0	0	0	0	0	17	29	3	3	20	0	0	0	0	0	0	58	13	39	22	0	3	1	0	0	0	0	0	0	2	6	2	14	7	3	0	0	0	0	0	3	2	0	46	12	1	12	2	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	9	6	31	1	0	0	0	0	1	0	0	0	2	0	9	8	29	8	8	0	0	0	0	0	0	6	2	15	4	0	0	0
